SpeciesID,ScientificName,Scientific.Name.with.Author,CommonNameA,CommonNameB,Family,WetlandStatus
ERSTL,Eriogonum strictum,Eriogonum strictum Benth. var. lachnostegium Benth.,,,,
ERNI4,Eriogonum nidularium,Eriogonum nidularium Coville,birdnest buckwheat,,Polygonaceae,
ERVIN,Eriogonum vimineum,Eriogonum vimineum Douglas ex Benth. ssp. nidularium (Coville) S. Stokes,,,,
ERNI7,Eriocaulon nigrobracteatum,Eriocaulon nigrobracteatum Bridges & Orzell,blackbract pipewort,Black-Bract Pipewort,Eriocaulaceae,OBL
ERNO2,Eriogonum nortonii,Eriogonum nortonii Greene,Pinnacles buckwheat,,Polygonaceae,
ERNO3,Eriogonum novonudum,Eriogonum novonudum M. Peck,false naked buckwheat,,Polygonaceae,
ERNO5,Erythroxylum novogranatense,Erythroxylum novogranatense (Morris) Hieron.,Colombian coca,,Erythroxylaceae,
ERNOD,Ernodea Sw.,Ernodea Sw.,ernodea,,Rubiaceae,
ERNON,Erythroxylum novogranatense,Erythroxylum novogranatense (Morris) Hieron. var. novogranatense,Colombian coca,,Erythroxylaceae,
ERNOT,Erythroxylum novogranatense,Erythroxylum novogranatense (Morris) Hieron. var. truxillense (Rusby) Plowman,Trujillo coca,,Erythroxylaceae,
ERNU3,Eriogonum nudum,Eriogonum nudum Douglas ex Benth.,naked buckwheat,,Polygonaceae,
ERNU4,Eriogonum nummulare,Eriogonum nummulare M.E. Jones,money buckwheat,,Polygonaceae,
ERDU3,Eriogonum dudleyanum,Eriogonum dudleyanum S. Stokes,,,,
ERKE3,Eriogonum kearneyi,Eriogonum kearneyi Tidestr.,,,,
ERKEM,Eriogonum kearneyi,Eriogonum kearneyi Tidestr. var. monoense (S. Stokes) Reveal,,,,
ERKEM2,Eriogonum kearneyi,Eriogonum kearneyi Tidestr. ssp. monoense (S. Stokes) Munz ex Reveal,,,,
ERNOK,Eriogonum nodosum,Eriogonum nodosum Small var. kearneyi (Tidestr.) S. Stokes,,,,
ERNOM,Eriogonum nodosum,Eriogonum nodosum Small ssp. monoense S. Stokes,,,,
ERNU5,Eriogonum nutans,Eriogonum nutans Torr. & A. Gray,Dugway buckwheat,,Polygonaceae,
ERNU6,Eriophyllum nubigenum,Eriophyllum nubigenum Greene ex A. Gray,Yosemite woolly sunflower,,Asteraceae,
ERNUA,Eriogonum nudum,Eriogonum nudum Douglas ex Benth. var. auriculatum (Benth.) Tracy ex Jeps.,naked buckwheat,,Polygonaceae,
ERLAA4,Eriogonum latifolium,Eriogonum latifolium Sm. ssp. auriculatum (Benth.) S. Stokes,,,,
ERNUD,Eriogonum nudum,Eriogonum nudum Douglas ex Benth. var. decurrens (S. Stokes) M.L. Bowerman,BenLomond buckwheat,,Polygonaceae,
ERNUD2,Eriogonum nudum,Eriogonum nudum Douglas ex Benth. var. deductum (Greene) Jeps.,naked buckwheat,,Polygonaceae,
ERLAD3,Eriogonum latifolium,Eriogonum latifolium Sm. var. deductum (Greene) S. Stokes,,,,
ERNUG,Eriogonum nutans,Eriogonum nutans Torr. & A. Gray var. glabratum Reveal,Dugway buckwheat,,Polygonaceae,
ERNUI,Eriogonum nudum,Eriogonum nudum Douglas ex Benth. var. indictum (Jeps.) Reveal,protruding buckwheat,,Polygonaceae,
ERLAI3,Eriogonum latifolium,Eriogonum latifolium Sm. var. indictum (Jeps.) S. Stokes,,,,
ERNUM,Eriogonum nudum,Eriogonum nudum Douglas ex Benth. var. murinum Reveal,mouse buckwheat,,Polygonaceae,
ERNUN,Eriogonum nudum,Eriogonum nudum Douglas ex Benth. var. nudum,naked buckwheat,,Polygonaceae,
ERLAN,Eriogonum latifolium,Eriogonum latifolium Sm. ssp. nudum (Douglas ex Benth.) S. Stokes,,,,
ERNUN2,Eriogonum nutans,Eriogonum nutans Torr. & A. Gray var. nutans,Dugway buckwheat,,Polygonaceae,
ERDEU,Eriogonum deflexum,Eriogonum deflexum Torr. ssp. ultrum S. Stokes,,,,
ERNUB,Eriogonum nutans,Eriogonum nutans Torr. & A. Gray var. brevipedicellatum S. Stokes,,,,
ERNUO,Eriogonum nudum,Eriogonum nudum Douglas ex Benth. var. oblongifolium S. Watson,naked buckwheat,,Polygonaceae,
ERHA3,Eriogonum harfordii,Eriogonum harfordii Small,,,,
ERLAS,Eriogonum latifolium,Eriogonum latifolium Sm. ssp. sulphureum (Greene) S. Stokes,,,,
ERNUP,Eriogonum nudum,Eriogonum nudum Douglas ex Benth. var. paralinum Reveal,Del Norte buckwheat,,Polygonaceae,
ERNUP2,Eriogonum nudum,Eriogonum nudum Douglas ex Benth. var. pauciflorum S. Watson,naked buckwheat,,Polygonaceae,
ERLAP,Eriogonum latifolium,Eriogonum latifolium Sm. ssp. pauciflorum (S. Watson) S. Stokes,,,,
ERNUP7,Eriogonum nudum,Eriogonum nudum Douglas ex Benth. ssp. pauciflorum (S. Watson) Munz,,,,
ERNUP4,Eriogonum nudum,Eriogonum nudum Douglas ex Benth. var. pubiflorum Benth.,naked buckwheat,,Polygonaceae,
ERNUR,Eriogonum nudum,Eriogonum nudum Douglas ex Benth. var. regirivum Reveal & J. Stebbins,Kings River buckwheat,,Polygonaceae,
ERNUS2,Eriogonum nudum,Eriogonum nudum Douglas ex Benth. var. scapigerum (Eastw.) Jeps.,naked buckwheat,,Polygonaceae,
ERLAS3,Eriogonum latifolium,Eriogonum latifolium Sm. var. scapigerum (Eastw.) S. Stokes,,,,
ERSC9,Eriogonum scapigerum,Eriogonum scapigerum Eastw.,,,,
ERNUW,Eriogonum nudum,Eriogonum nudum Douglas ex Benth. var. westonii (S. Stokes) J.T. Howell,Weston's buckwheat,,Polygonaceae,
ERGR18,Eriogonum gramineum,Eriogonum gramineum S. Stokes,,,,
ERLAS2,Eriogonum latifolium,Eriogonum latifolium Sm. ssp. saxicola (A. Heller) S. Stokes,,,,
ERNUG3,Eriogonum nudum,Eriogonum nudum Douglas ex Benth. var. gramineum (S. Stokes) Reveal,,,,
ERNUS,Eriogonum nudum,Eriogonum nudum Douglas ex Benth. var. saxicola (A. Heller) Reveal,,,,
ERNUS3,Eriogonum nudum,Eriogonum nudum Douglas ex Benth. ssp. saxicola (A. Heller) Munz,,,,
EROB3,Ericameria obovata,Ericameria obovata (Rydb.) G.L. Nesom,Rydberg's goldenbush,,Asteraceae,
HARY,Haplopappus rydbergii,Haplopappus rydbergii S.F. Blake,,,,
HAWAR,Haplopappus watsonii,Haplopappus watsonii A. Gray var. rydbergii (S.F. Blake) S.L. Welsh,,,,
MAOB4,Macronema obovatum,"Macronema obovatum Rydb., non Haplopappus obovatus Phil.",,,,
EROB5,Eragrostis obtusa,Eragrostis obtusa Munro ex Stapf [excluded],,,Poaceae,
EROC,Erigeron ochroleucus,Erigeron ochroleucus Nutt.,buff fleabane,,Asteraceae,
EROCO,Erigeron ochroleucus,Erigeron ochroleucus Nutt. var. ochroleucus,,,,
EROCS2,Erigeron ochroleucus,Erigeron ochroleucus Nutt. var. scribneri (Canby ex Rydb.) Cronquist,,,,
ERPA17,Erigeron parryi,Erigeron parryi Canby & Rose,,,,
EROC2,Eriogonum ochrocephalum,Eriogonum ochrocephalum S. Watson,whitewoolly buckwheat,,Polygonaceae,
EROC3,Erysimum occidentale,Erysimum occidentale (S. Watson) B.L. Rob.,pale wallflower,,Brassicaceae,
EROCA,Eriogonum ochrocephalum,Eriogonum ochrocephalum S. Watson var. alexandrae Reveal,Alexander's buckwheat,,Polygonaceae,
EROCC,Eriogonum ochrocephalum,Eriogonum ochrocephalum S. Watson var. calcareum (S. Stokes) M. Peck,whitewoolly buckwheat,,Polygonaceae,
EROCC2,Eriogonum ochrocephalum,Eriogonum ochrocephalum S. Watson ssp. calcareum S. Stokes,,,,
EROCO2,Eriogonum ochrocephalum,Eriogonum ochrocephalum S. Watson var. ochrocephalum,whitewoolly buckwheat,,Polygonaceae,
EROCS,Eriogonum ochrocephalum,Eriogonum ochrocephalum S. Watson var. sceptrum Reveal,whitewoolly buckwheat,,Polygonaceae,
EROD,Erithalis odorifer,Erithalis odorifer Jacq.,scented blacktorch,,Rubiaceae,
EROD2,Erysimum odoratum,Erysimum odoratum Ehrh.,smelly wallflower,,Brassicaceae,
ERPA25,Erysimum pannonicum,Erysimum pannonicum Crantz,,,,
ERODI,Erodium L'Hér.,Erodium L'Hér. ex Aiton,stork's bill,,Geraniaceae,
EROP,Eremochloa ophiuroides,Eremochloa ophiuroides (Munro) Hack.,centipede grass,,Poaceae,
ISOP2,Ischaemum ophiuroides,Ischaemum ophiuroides Munro,,,,
EROP2,Ericameria ophitidis,Ericameria ophitidis (J.T. Howell) G.L. Nesom,serpentine goldenbush,,Asteraceae,
HABLO,Haplopappus bloomeri,Haplopappus bloomeri A. Gray var. ophitidis J.T. Howell,,,,
HAOP,Haplopappus ophitidis,Haplopappus ophitidis (J.T. Howell) D.D. Keck,,,,
EROR2,Erigeron oreganus,Erigeron oreganus A. Gray,gorge fleabane,,Asteraceae,
EROR3,Eriogonum ordii,Eriogonum ordii S. Watson,Fort Mojave buckwheat,,Polygonaceae,
EROR4,Erythronium oregonum,Erythronium oregonum Applegate,giant white fawnlily,,Liliaceae,
EROR5,Erigeron oreophilus,Erigeron oreophilus Greenm.,chaparral fleabane,,Asteraceae,
ERDEO,Erigeron delphiniifolius,Erigeron delphiniifolius Willd. var. oreophilus (Greenm.) Cronquist,,,,
EROR7,Eremopyrum orientale,Eremopyrum orientale (L.) Jaubert & Spach,Oriental false wheatgrass,,Poaceae,
AGOR2,Agropyron orientale,Agropyron orientale (L.) Roem. & Schult.,,,,
SEOR8,Secale orientale,Secale orientale L.,,,,
EROR8,Erigeron orientalis,Erigeron orientalis Boiss.,,,Asteraceae,
ERORL,Erythronium oregonum,Erythronium oregonum Applegate ssp. leucandrum (Applegate) Applegate,giant white fawnlily,,Liliaceae,
ERGIL,Erythronium giganteum,Erythronium giganteum Lindl. ssp. leucandrum Applegate,,,,
ERORO,Erythronium oregonum,Erythronium oregonum Applegate ssp. oregonum,giant white fawnlily,,Liliaceae,
ERGI6,Erythronium giganteum,Erythronium giganteum auct. non Lindl.,,,,
EROS,Eriogonum ostlundii,Eriogonum ostlundii M.E. Jones,Elsinore buckwheat,,Polygonaceae,
ERBAO,Eriogonum batemanii,Eriogonum batemanii M.E. Jones var. ostlundii (M.E. Jones) S.L. Welsh,,,,
ERSP12,Eriogonum spathuiforme,Eriogonum spathuiforme Rydb.,,,,
ERSPS7,Eriogonum spathulatum,Eriogonum spathulatum A. Gray ssp. spathuiforme (Rydb.) S. Stokes,,,,
EROV,Eriogonum ovalifolium,Eriogonum ovalifolium Nutt.,cushion buckwheat,Cushion Wild Buckwheat,Polygonaceae,
EROV2,Erigeron ovinus,Erigeron ovinus Cronquist,sheep fleabane,,Asteraceae,
EROVC,Eriogonum ovalifolium,Eriogonum ovalifolium Nutt. var. caelestinum Reveal,cushion buckwheat,Cushion Wild Buckwheat,Polygonaceae,
EROVD,Eriogonum ovalifolium,Eriogonum ovalifolium Nutt. var. depressum Blank.,cushion buckwheat,Cushion Wild Buckwheat,Polygonaceae,
EROVE,Eriogonum ovalifolium,Eriogonum ovalifolium Nutt. var. eximium (Tidestr.) J.T. Howell,brownmargin buckwheat,Cushion Wild Buckwheat,Polygonaceae,
EROVE2,Eriogonum ovalifolium,Eriogonum ovalifolium Nutt. ssp. eximium (Tidestr.) S. Stokes,,Cushion Wild Buckwheat,,
EROVF2,Eriogonum ovalifolium,Eriogonum ovalifolium Nutt. var. focarium Reveal & Mansfield,Craters of the Moon cushion buckwheat,Cushion Wild Buckwheat,Polygonaceae,
EROVN,Eriogonum ovalifolium,Eriogonum ovalifolium Nutt. var. nivale (Canby) M.E. Jones,cushion buckwheat,Cushion Wild Buckwheat,Polygonaceae,
ERNI5,Eriogonum nivale,Eriogonum nivale Canby,,,,
ERRH3,Eriogonum rhodanthum,Eriogonum rhodanthum A. Nelson & Kennedy,,,,
EROVO4,Eriogonum ovalifolium,Eriogonum ovalifolium Nutt. var. ochroleucum (Small ex Rydb.) M. Peck,cushion buckwheat,Cushion Wild Buckwheat,Polygonaceae,
EROC4,Eriogonum ochroleucum,Eriogonum ochroleucum Small ex Rydb.,,,,
EROVM,Eriogonum ovalifolium,Eriogonum ovalifolium Nutt. var. macropodum (Gandog.) Reveal,,Cushion Wild Buckwheat,,
EROVO6,Eriogonum ovalifolium,Eriogonum ovalifolium Nutt. ssp. ochroleucum (Small ex Rydb.) S. Stokes,,Cushion Wild Buckwheat,,
EROVO5,Eriogonum ovalifolium,Eriogonum ovalifolium Nutt. var. ovalifolium,cushion buckwheat,Cushion Wild Buckwheat,Polygonaceae,
EROVN2,Eriogonum ovalifolium,Eriogonum ovalifolium Nutt. var. nevadense Gandog.,,Cushion Wild Buckwheat,,
EROVP,Eriogonum ovalifolium,Eriogonum ovalifolium Nutt. var. pansum Reveal,cushion buckwheat,Cushion Wild Buckwheat,Polygonaceae,
EROVP2,Eriogonum ovalifolium,Eriogonum ovalifolium Nutt. var. purpureum (Nutt.) Durand,cushion buckwheat,Cushion Wild Buckwheat,Polygonaceae,
ERDA5,Eriogonum davisianum,Eriogonum davisianum S. Stokes,,,,
EROVC2,Eriogonum ovalifolium,Eriogonum ovalifolium Nutt. var. celsum A. Nelson,,Cushion Wild Buckwheat,,
EROVM2,Eriogonum ovalifolium,Eriogonum ovalifolium Nutt. var. multiscapum Gandog.,,Cushion Wild Buckwheat,,
EROVO3,Eriogonum ovalifolium,Eriogonum ovalifolium Nutt. var. orthocaulon (Small) C.L. Hitchc.,,Cushion Wild Buckwheat,,
EROVR,Eriogonum ovalifolium,Eriogonum ovalifolium (Gand.) Reveal & Mansfield var. rubidum ,Steens Mountain cushion buckwheat,Cushion Wild Buckwheat,Polygonaceae,
ERRU6,Eriogonum rubidum,Eriogonum rubidum Gand.,,,,
EROVV,Eriogonum ovalifolium,Eriogonum ovalifolium Nutt. var. vineum (Small) Jeps.,Cushenbury buckwheat,Cushion Wild Buckwheat,Polygonaceae,
EROVV2,Eriogonum ovalifolium,Eriogonum ovalifolium Nutt. ssp. vineum (Small) S. Stokes,,Cushion Wild Buckwheat,,
EROVW,Eriogonum ovalifolium,Eriogonum ovalifolium Nutt. var. williamsiae Reveal,Williams' buckwheat,Cushion Wild Buckwheat,Polygonaceae,
EROX2,Erigeron oxyphyllus,Erigeron oxyphyllus Greene,wand fleabane,,Asteraceae,
EROX4,Erigeron oxyodontus,Erigeron oxyodontus Lunell,fleabane,,Asteraceae,
ERPA,Eragrostis palmeri,Eragrostis palmeri S. Watson,Rio Grande lovegrass,,Poaceae,
ERPA10,Erysimum pallasii,Erysimum pallasii (Pursh) Fernald,Pallas' wallflower,,Brassicaceae,
ERPA11,Eriogonum palmerianum,Eriogonum palmerianum Reveal,Palmer's buckwheat,,Polygonaceae,
ERBAT,Eriogonum baileyi,"Eriogonum baileyi S. Watson var. tomentosum S. Watson, non Michx.",,,,
ERPA12,Eriogonum panamintense,Eriogonum panamintense Morton,Panamint Mountain buckwheat,,Polygonaceae,
ERRAD,Eriogonum racemosum,Eriogonum racemosum Nutt. var. desertorum S. Stokes,,,,
ERPA13,Eriogonum panguicense,Eriogonum panguicense (M.E. Jones) Reveal,Panguitch buckwheat,,Polygonaceae,
ERPA14,Eremalche parryi,Eremalche parryi (Greene) Greene,Parry's mallow,,Malvaceae,
ERPA15,Ericameria palmeri,Ericameria palmeri (A. Gray) H.M. Hall,Palmer's goldenbush,,Asteraceae,
ERPA2,Eragrostis paupera,Eragrostis paupera Jedw.,Oahu lovegrass,Oahu Love Grass,Poaceae,
ERFA4,Eragrostis falcata,"Eragrostis falcata sensu Hitchc., non Gaudich. ex Steud.",,,,
ERWH,Eragrostis whitneyi,Eragrostis whitneyi Fosberg,,,,
ERWHC,Eragrostis whitneyi,Eragrostis whitneyi Fosberg var. caumii Fosberg,,,,
ERPA24,Ericameria parishii,Ericameria parishii (Greene) H.M. Hall,Parish's rabbitbrush,,Asteraceae,
ERPAP13,Ericameria parishii,Ericameria parishii (Greene) H.M. Hall var. parishii,,,,
HAPA5,Haplopappus parishii,Haplopappus parishii (Greene) S.F. Blake,,,,
ERPA26,Eragrostis papposa,Eragrostis papposa (Roem. & Schult.) Steud.,,,Poaceae,
ERPA27,Eriachne pallescens,Eriachne pallescens R. Br.,,,Poaceae,
ERPA28,Eriosema parviflorum,Eriosema parviflorum E. Mey.,,,Fabaceae,
ERPA29,Ericameria paniculata,Ericameria paniculata (A. Gray) Rydb.,Mojave rabbitbrush,,Asteraceae,
CHPA12,Chrysothamnus paniculatus,Chrysothamnus paniculatus (A. Gray) H.M. Hall,,,,
ERPA3,Erigeron parishii,Erigeron parishii A. Gray,Parish's fleabane,,Asteraceae,
ERPA30,Ericameria parryi,Ericameria parryi (A. Gray) G.L. Nesom & Baird,Parry's rabbitbrush,,Asteraceae,
ERPA32,Eragrostis parviflora,Eragrostis parviflora (R. Br.) Trin.,smallflower lovegrass,,Poaceae,
ERPA34,Erigeron pallens,Erigeron pallens Cronquist,pale fleabane,,Asteraceae,
ERPUP7,Erigeron purpuratus,"Erigeron purpuratus Greene ssp. pallens (Cronquist) G.W. Douglas, nom. nud.",,,,
ERPA4,Eriocaulon parkeri,Eriocaulon parkeri B.L. Rob.,estuary pipewort,Estuary Pipewort,Eriocaulaceae,OBL
ERRO11,Eriocaulon rollandii,Eriocaulon rollandii J. Rousseau,,,,
ERSEP,Eriocaulon septangulare,Eriocaulon septangulare With. var. parkeri (B.L. Rob.) B. Boivin & J. Cay.,,,,
ERPA6,Eriogonum parishii,Eriogonum parishii S. Watson,mountainmist,,Polygonaceae,
ERPA7,Eriodictyon parryi,Eriodictyon parryi (A. Gray) Greene,poodle-dog bush,,Hydrophyllaceae,
NAPA6,Nama parryi,Nama parryi A. Gray,,,,
TUPA2,Turricula parryi,Turricula parryi (A. Gray) J.F. Macbr.,,,,
ERPA8,Eriogonum parvifolium,Eriogonum parvifolium Sm.,seacliff buckwheat,,Polygonaceae,
ERPAL,Eriogonum parvifolium,Eriogonum parvifolium Sm. ssp. lucidum J.T. Howell ex S. Stokes,,,,
ERPAL2,Eriogonum parvifolium,Eriogonum parvifolium Sm. var. lucidum (J.T. Howell ex S. Stokes) Reveal,,,,
ERPAP7,Eriogonum parvifolium,Eriogonum parvifolium Sm. ssp. paynei C.B. Wolf ex Munz,,,,
ERPAP8,Eriogonum parvifolium,Eriogonum parvifolium Sm. var. paynei (C.B. Wolf ex Munz) Reveal,,,,
ERPA9,Eriogonum pauciflorum,Eriogonum pauciflorum Pursh,fewflower buckwheat,,Polygonaceae,
ERPAA,Eriogonum panguicense,Eriogonum panguicense (M.E. Jones) Reveal var. alpestre (S. Stokes) Reveal,Panguitch buckwheat,,Polygonaceae,
ERCHA4,Eriogonum chrysocephalum,Eriogonum chrysocephalum A. Gray ssp. alpestre S. Stokes,,,,
ERPAA2,Ericameria parryi,Ericameria parryi (A. Gray) G.L. Nesom & Baird var. affinis (A. Nelson) G.L. Nesom & Baird,Parry's rabbitbrush,,Asteraceae,
CHPAA10,Chrysothamnus parryi,Chrysothamnus parryi (A. Gray) Greene var. affinis (A. Nelson) Cronquist,,,,
CHPAA2,Chrysothamnus parryi,Chrysothamnus parryi (A. Gray) Greene ssp. affinis (A. Nelson) L.C. Anderson,,,,
ERPAA3,Ericameria parryi,Ericameria parryi (A. Gray) G.L. Nesom & Baird var. aspra (Greene) G.L. Nesom & Baird,Parry's rabbitbrush,,Asteraceae,
CHPAA3,Chrysothamnus parryi,Chrysothamnus parryi (A. Gray) Greene ssp. asper (Greene) H.M. Hall & Clem.,,,,
CHPAA6,Chrysothamnus parryi,Chrysothamnus parryi (A. Gray) Greene var. asper (Greene) Munz,,,,
ERPAA4,Ericameria parryi,Ericameria parryi (A. Gray) G.L. Nesom & Baird var. attenuata (M.E. Jones) G.L. Nesom & Baird,Parry's rabbitbrush,,Asteraceae,
CHPAA4,Chrysothamnus parryi,Chrysothamnus parryi (A. Gray) Greene ssp. attenuatus (M.E. Jones) H.M. Hall & Clem.,,,,
CHPAA5,Chrysothamnus parryi,Chrysothamnus parryi (A. Gray) Greene var. attenuatus (M.E. Jones) Kittell,,,,
ERPAB,Erysimum pallasii,Erysimum pallasii (Pursh) Fernald var. bracteosum G. Rossb.,Pallas' wallflower,,Brassicaceae,
ERPAG,Eriogonum pauciflorum,Eriogonum pauciflorum Pursh var. gnaphalodes (Benth.) Reveal,fewflower buckwheat,,Polygonaceae,
ERPAH,Ericameria parryi,Ericameria parryi (A. Gray) G.L. Nesom & Baird var. howardii (Parry ex A. Gray) G.L. Nesom & Baird,Parry's rabbitbrush,,Asteraceae,
CHHO6,Chrysothamnus howardii,Chrysothamnus howardii (Parry ex A. Gray) Greene,,,,
CHPAH,Chrysothamnus parryi,Chrysothamnus parryi (A. Gray) Greene ssp. howardii (Parry ex A. Gray) H.M. Hall & Clem.,,,,
CHPAH2,Chrysothamnus parryi,Chrysothamnus parryi (A. Gray) Greene var. howardii (Parry ex A. Gray) Kittell,,,,
ERPAI,Ericameria parryi,Ericameria parryi (A. Gray) G.L. Nesom & Baird var. imula (H.M. Hall & Clem.) G.L. Nesom & Baird,Parry's rabbitbrush,,Asteraceae,
CHPAI,Chrysothamnus parryi,Chrysothamnus parryi (A. Gray) Greene ssp. imulus H.M. Hall & Clem.,,,,
ERPAK,Eremalche parryi,Eremalche parryi (Greene) Greene ssp. kernensis (C.B. Wolf) D.M. Bates,Kern mallow,,Malvaceae,
ERKE4,Eremalche kernensis,Eremalche kernensis C.B. Wolf,,,,
MAKE2,Malvastrum kernensis,Malvastrum kernensis (C.B. Wolf) Munz,,,,
ERPAL3,Ericameria parryi,Ericameria parryi (A. Gray) G.L. Nesom & Baird var. latior (H.M. Hall & Clem.) G.L. Nesom & Baird,Parry's rabbitbrush,,Asteraceae,
CHPAL,Chrysothamnus parryi,Chrysothamnus parryi (A. Gray) Greene ssp. latior H.M. Hall & Clem.,,,,
ERPAM3,Ericameria parryi,Ericameria parryi (A. Gray) G.L. Nesom & Baird var. monocephala (A. Nelson & Kennedy) G.L. Nesom & Baird,Parry's rabbitbrush,,Asteraceae,
CHPAM,Chrysothamnus parryi,Chrysothamnus parryi (A. Gray) Greene ssp. monocephalus (A. Nelson & Kennedy) H.M. Hall & Clem.,,,,
CHPAM3,Chrysothamnus parryi,Chrysothamnus parryi (A. Gray) Greene var. monocephalus (A. Nelson & Kennedy) Jeps.,,,,
ERPAM4,Ericameria parryi,Ericameria parryi (A. Gray) G.L. Nesom & Baird var. montana (L.C. Anderson) G.L. Nesom & Baird,Parry's rabbitbrush,,Asteraceae,
CHPAM2,Chrysothamnus parryi,Chrysothamnus parryi (A. Gray) Greene ssp. montanus L.C. Anderson,,,,
ERPAN2,Ericameria parryi,Ericameria parryi (A. Gray) G.L. Nesom & Baird var. nevadensis (A. Gray) G.L. Nesom & Baird,Parry's rabbitbrush,,Asteraceae,
CHPAN,Chrysothamnus parryi,Chrysothamnus parryi (A. Gray) Greene ssp. nevadensis (A. Gray) H.M. Hall & Clem.,,,,
CHPAN2,Chrysothamnus parryi,Chrysothamnus parryi (A. Gray) Greene var. nevadensis (A. Gray) Kittell,,,,
ERPAO2,Erysimum pallasii,Erysimum pallasii (Pursh) Fernald var. ochroleucum Tolm. [excluded],,,Brassicaceae,
ERPAP,Ericameria palmeri,Ericameria palmeri (A. Gray) H.M. Hall var. pachylepis (H.M. Hall) G.L. Nesom,Palmer's rabbitbrush,,Asteraceae,
HAPAP3,Haplopappus palmeri,Haplopappus palmeri A. Gray ssp. pachylepis H.M. Hall,,,,
XYPAP,Xylothamia palmeri,Xylothamia palmeri (A. Gray) G.L. Nesom var. pachylepis (H.M. Hall) G.L. Nesom ex M. Lane & R.L. Hartm.,,,,
ERPAP10,Ericameria parryi,Ericameria parryi (A. Gray) G.L. Nesom & Baird var. parryi,Parry's rabbitbrush,,Asteraceae,
CHPA13,Chrysothamnus parryi,Chrysothamnus parryi (A. Gray) Greene,,,,
CHPAT,Chrysothamnus parryi,Chrysothamnus parryi (A. Gray) Greene ssp. typicus H.M. Hall & Clem.,,,,
ERPAP2,Ericameria palmeri,Ericameria palmeri (A. Gray) H.M. Hall var. palmeri,Palmer's rabbitbrush,,Asteraceae,
HAPA8,Haplopappus palmeri,Haplopappus palmeri A. Gray,,,,
ERPAP3,Erysimum pallasii,Erysimum pallasii (Pursh) Fernald var. pallasii,Pallas' wallflower,,Brassicaceae,
ERPAP5,Eriogonum panguicense,Eriogonum panguicense (M.E. Jones) Reveal var. panguicense,Panguitch buckwheat,,Polygonaceae,
ERSPP2,Eriogonum spathulatum,Eriogonum spathulatum A. Gray var. panguicense (M.E. Jones) S. Stokes,,,,
ERPAP6,Eriogonum pauciflorum,Eriogonum pauciflorum Pursh var. pauciflorum,fewflower buckwheat,,Polygonaceae,
ERDE14,Eriogonum depauperatum,Eriogonum depauperatum Small,,,,
ERMU9,Eriogonum multiceps,Eriogonum multiceps Nees,,,,
ERPAP9,Eremalche parryi,Eremalche parryi (Greene) Greene ssp. parryi,Parry's mallow,,Malvaceae,
MAPA14,Malvastrum parryi,Malvastrum parryi Greene,,,,
ERPAS,Ericameria parryi,Ericameria parryi (A. Gray) G.L. Nesom & Baird var. salmonensis (L.C. Anderson) G.L. Nesom & Baird,Parry's rabbitbrush,,Asteraceae,
CHPAS,Chrysothamnus parryi,Chrysothamnus parryi (A. Gray) Greene ssp. salmonensis L.C. Anderson,,,,
ERPAV,Ericameria parryi,Ericameria parryi (A. Gray) G.L. Nesom & Baird var. vulcanica (Greene) G.L. Nesom & Baird,Parry's rabbitbrush,,Asteraceae,
CHPAV,Chrysothamnus parryi,Chrysothamnus parryi (A. Gray) Greene ssp. vulcanicus (Greene) H.M. Hall & Clem.,,,,
CHPAV2,Chrysothamnus parryi,Chrysothamnus parryi (A. Gray) Greene var. vulcanicus (Greene) Jeps.,,,,
ERPE,Eragrostis pectinacea,Eragrostis pectinacea (Michx.) Nees ex Steud.,tufted lovegrass,Purple Love Grass,Poaceae,FAC
ERPE10,Eriogonum pelinophilum,Eriogonum pelinophilum Reveal,clay-loving buckwheat,,Polygonaceae,
ERPE17,Erioderma pedicellatum,Erioderma pedicellatum (Hue) P.M. Jørg.,pedicelled erioderma lichen,,Pannariaceae,
ERBO6,Erioderma boreale,Erioderma boreale Ahlner,,,,
ERPE18,Erysimum perofskianum,Erysimum perofskianum Fisch. & C.A. Mey.,Afghan erysimum,,Brassicaceae,
ERPE19,Eryngium pendletonensis,Eryngium pendletonensis K.L. Marsden & M.G. Simpson,Pendleton's eryngo,,Apiaceae,
ERPE3,Erigeron peregrinus,Erigeron peregrinus (Banks ex Pursh) Greene,subalpine fleabane,Subalpine Fleabane,Asteraceae,
ERPE5,Erigeron petrophilus,Erigeron petrophilus Greene,rockloving erigeron,,Asteraceae,
ERPE6,Eriogonum pendulum,Eriogonum pendulum S. Watson,Waldo buckwheat,,Polygonaceae,
ERPE7,Eryngium petiolatum,Eryngium petiolatum Hook.,rushleaf eryngo,Rush-Leaf Eryngo,Apiaceae,
ERPEC,Erigeron peregrinus,Erigeron peregrinus (Banks ex Pursh) Greene ssp. callianthemus (Greene) Cronquist,subalpine fleabane,Subalpine Fleabane,Asteraceae,
ERGL5,Erigeron glacialis,Erigeron glacialis (Nutt.) A. Nelson,,Glacier Fleabane,,
ERPEC2,Erigeron peregrinus,Erigeron peregrinus (Banks ex Pursh) Greene ssp. callianthemus (Greene) Cronquist var. callianthemus,subalpine fleabane,Subalpine Fleabane,Asteraceae,
ERCA21,Erigeron callianthemus,Erigeron callianthemus Greene,,,,
